customer_id,age,gender,marital_status,education,employment_type,annual_income,loan_amount,loan_term_months,interest_rate,credit_history_years,num_existing_loans,num_credit_cards,avg_monthly_balance,late_payments_last_12m,debt_to_income_ratio,default
CUST100054,19,Male,Single,Diploma,Salaried,463150,376918,60,20.86,2.3,4,5,77123,3,0.88,1
CUST100055,37,Male,Married,Post-Graduate,Unemployed,1263489,766137,36,12.68,12.3,5,4,13515,3,0.63,1
CUST100056,45,Female,Single,Graduate,Unemployed,738396,761063,60,22.26,8.9,1,1,87211,1,0.06,0
CUST100057,64,Male,Married,Graduate,Salaried,899091,125315,48,10.63,3.8,4,2,169694,1,0.46,1
CUST100058,24,Female,Single,High School,Salaried,389637,339348,24,13.71,13.1,4,0,16600,2,0.4,1
CUST100059,61,Female,Married,Diploma,Salaried,189639,302229,24,17.59,3,1,1,158964,0,0.14,0
CUST100060,25,Male,Divorced,Diploma,Unemployed,1400028,722214,12,10.1,11.1,5,4,69310,0,0.83,1
CUST100061,64,Female,Divorced,Post-Graduate,Self-Employed,1485103,488013,60,19.82,10.5,4,4,152873,7,0.73,1
CUST100062,52,Female,Married,Graduate,Salaried,429378,759629,12,14.5,14.7,3,0,168767,7,0.25,1
CUST100063,31,Female,Single,Diploma,Salaried,1084795,715139,24,20.66,1.1,5,4,159925,7,0.27,1
CUST100064,34,Male,Married,Post-Graduate,Salaried,606084,731567,24,16.14,17.8,4,5,135501,7,0.08,1
CUST100065,53,Female,Single,High School,Salaried,389515,245687,60,11.3,14.1,4,4,135678,7,0.3,1
CUST100066,67,Female,Single,Diploma,Salaried,352520,316124,48,19.89,4.3,1,3,135550,7,0.55,1
CUST100067,57,Female,Single,High School,Self-Employed,1412035,165213,48,12.41,3.7,3,2,114380,0,0.41,1
CUST100068,21,Male,Married,Graduate,Self-Employed,791986,684704,60,16.11,8.6,5,4,171206,5,0.87,1
CUST100069,19,Female,Married,Post-Graduate,Self-Employed,357330,35896,60,9.67,16.4,2,3,111780,3,0.1,1
CUST100070,23,Male,Married,Diploma,Self-Employed,1274149,109353,12,18.08,16.9,0,1,156547,0,0.55,0
CUST100071,59,Male,Married,Post-Graduate,Self-Employed,1044634,49813,60,18.82,10.4,3,4,66177,7,0.78,1
CUST100072,21,Male,Single,Diploma,Salaried,257900,759791,48,14.37,17.2,2,5,152802,2,0.46,1
CUST100073,46,Male,Divorced,Post-Graduate,Self-Employed,439658,85679,60,23.29,0.1,3,1,152185,2,0.05,1
CUST100074,35,Male,Married,Graduate,Salaried,620364,686041,12,22.05,0.7,2,4,151083,0,0.26,1
CUST100075,43,Male,Married,Graduate,Self-Employed,1404283,748263,12,19.47,18.2,2,0,55746,1,0.33,0
CUST100076,61,Female,Single,High School,Salaried,818419,417798,12,19.56,15.5,3,3,123075,2,0.87,1
CUST100077,51,Male,Married,Post-Graduate,Self-Employed,643116,229755,12,12.41,9,1,3,173925,6,0.83,1
CUST100078,27,Female,Married,Graduate,Salaried,633066,293541,36,18.68,15.1,3,0,85195,1,0.86,1
CUST100079,53,Female,Single,Diploma,Salaried,384179,319155,60,11.57,19.1,3,2,36818,6,0.75,1
CUST100080,31,Male,Single,Graduate,Salaried,1278343,623471,24,10.73,15.4,2,5,168393,3,0.35,1
CUST100081,48,Female,Married,Diploma,Salaried,553961,375398,60,23.99,16.8,0,3,21309,5,0.82,1
CUST100082,65,Female,Married,Post-Graduate,Self-Employed,661529,457480,36,18.15,15.2,2,1,149760,2,0.88,1
CUST100083,32,Female,Single,High School,Self-Employed,697263,586605,12,15.18,3.4,4,5,28176,1,0.35,1
CUST100084,25,Female,Divorced,Graduate,Salaried,274226,198986,36,12.97,16.7,3,3,68879,7,0.27,1
CUST100085,31,Male,Single,Graduate,Salaried,1082454,235705,48,17.86,3.9,5,2,67592,6,0.51,1
CUST100086,40,Female,Married,High School,Salaried,611818,720614,48,9.27,17.9,3,1,84728,0,0.21,0
CUST100087,57,Male,Divorced,High School,Salaried,176396,322240,60,9.97,9.2,1,5,140488,6,0.08,1
CUST100088,38,Female,Married,High School,Salaried,238920,335929,60,9.01,13.5,5,1,171066,6,0.85,1
CUST100089,33,Female,Married,Diploma,Self-Employed,526547,72344,24,16.24,9.9,2,0,197494,3,0.84,1
CUST100090,62,Male,Single,Diploma,Salaried,314999,790348,24,17.81,1.9,1,4,8584,4,0.19,1
CUST100091,35,Female,Single,Graduate,Salaried,183014,495859,48,9.47,5.8,3,0,124555,4,0.4,1
CUST100092,64,Female,Divorced,Diploma,Salaried,714699,743906,12,19.68,19.7,2,5,93302,0,0.76,1
CUST100093,41,Female,Married,Diploma,Salaried,305550,478819,36,12.07,19.2,2,4,122408,3,0.61,1
CUST100094,43,Male,Married,Graduate,Salaried,1355382,179484,24,19.12,6.4,4,0,18830,3,0.39,1
CUST100095,42,Female,Single,High School,Self-Employed,1153994,130489,24,23.72,19.9,4,4,77066,7,0.68,1
CUST100096,62,Male,Single,Post-Graduate,Salaried,458585,464874,12,19.21,16.9,0,3,3591,3,0.81,1
CUST100097,58,Female,Single,Post-Graduate,Salaried,1214697,513057,12,22.19,12.2,4,1,93878,3,0.84,1
CUST100098,46,Male,Married,Graduate,Salaried,1164890,462765,60,23.2,0.8,5,4,125407,4,0.37,1
CUST100099,32,Male,Single,Graduate,Salaried,442341,31549,36,16.04,18,2,3,116869,1,0.2,0
CUST100100,62,Female,Married,Post-Graduate,Salaried,1253153,484432,12,19.39,11.1,4,2,21395,3,0.83,1
CUST100101,18,Female,Married,High School,Unemployed,476778,45739,24,21.71,17.4,0,0,185254,1,0.13,0
CUST100102,42,Male,Divorced,High School,Self-Employed,1417682,651339,24,14.03,16.7,3,2,16738,6,0.66,1
CUST100103,24,Male,Single,High School,Salaried,1155141,35116,48,12.55,16.7,5,5,133703,6,0.17,1
CUST100104,26,Female,Married,Graduate,Salaried,780197,564333,12,23.17,14,4,3,148977,3,0.38,1
CUST100105,41,Male,Married,High School,Salaried,625200,55709,60,19.76,5.8,2,2,19056,2,0.4,1
CUST100106,18,Female,Married,Graduate,Salaried,596379,702265,36,11.91,6.7,3,2,121656,5,0.18,1
CUST100107,61,Female,Married,Post-Graduate,Self-Employed,645754,747963,60,15.46,6.2,2,3,115316,2,0.83,1
CUST100108,25,Female,Married,Post-Graduate,Self-Employed,1156149,249167,24,20.85,0.4,3,1,166519,6,0.05,1
CUST100109,41,Female,Married,Graduate,Salaried,466030,325063,60,16.98,11.7,5,4,54418,5,0.81,1
CUST100110,28,Male,Single,High School,Salaried,448055,506121,24,18.57,14,2,5,37190,2,0.8,1
CUST100111,68,Female,Single,Graduate,Salaried,208422,239222,24,20.18,17.1,4,5,26014,3,0.32,1
CUST100112,34,Male,Divorced,Graduate,Self-Employed,1135691,733806,24,18.14,2.8,4,0,181350,1,0.65,1
CUST100113,25,Female,Married,High School,Self-Employed,455513,727788,24,16.87,10.9,0,4,125563,5,0.26,1
CUST100114,52,Male,Married,High School,Salaried,1461293,549787,24,20.12,0.2,3,0,1780,4,0.69,1
CUST100115,52,Female,Married,Post-Graduate,Salaried,1078378,583329,48,19.78,1.9,0,5,190330,0,0.53,0
CUST100116,50,Male,Single,Graduate,Self-Employed,852722,313459,60,18.26,1.1,1,4,42192,5,0.31,1
CUST100117,22,Male,Single,Graduate,Salaried,1006388,152371,48,14.08,14.5,4,2,190372,5,0.39,1
CUST100118,59,Female,Married,Post-Graduate,Salaried,1320847,402650,48,14.79,1.6,3,1,104875,4,0.64,1
CUST100119,56,Female,Married,Graduate,Salaried,1154104,680354,12,23.54,14.3,5,2,99129,3,0.82,1
CUST100120,58,Female,Single,Graduate,Self-Employed,473548,770774,12,10.24,5,0,1,43923,2,0.16,0
CUST100121,45,Female,Married,Diploma,Salaried,964156,232235,12,12.66,17.6,5,3,89196,2,0.54,1
CUST100122,24,Male,Single,Diploma,Salaried,1336053,373791,36,16.13,16.3,5,0,2395,6,0.27,1
CUST100123,26,Female,Married,Diploma,Self-Employed,1397880,314499,12,21.47,19.2,5,0,102449,1,0.73,1
CUST100124,25,Male,Single,Graduate,Salaried,1146163,355949,60,11.04,17.7,0,3,121747,3,0.11,0
CUST100125,29,Male,Married,Graduate,Salaried,935363,350511,48,12.79,18.7,1,4,146851,4,0.64,1
CUST100126,51,Female,Single,Post-Graduate,Salaried,472621,392050,60,9.52,17.2,0,3,71028,3,0.2,0
CUST100127,50,Male,Married,Diploma,Salaried,592697,399553,12,19.44,13.9,2,5,160794,3,0.56,1
CUST100128,65,Male,Single,Graduate,Self-Employed,851658,136220,36,12.19,3.4,4,3,138183,2,0.76,1
CUST100129,40,Male,Single,Graduate,Salaried,805493,241421,36,14.52,5.4,0,1,141056,4,0.69,1
CUST100130,41,Male,Single,Graduate,Salaried,887976,369317,48,15.38,4.3,0,5,93176,7,0.69,1
CUST100131,54,Female,Married,Graduate,Salaried,598705,795359,60,22.32,12.1,1,3,26924,0,0.49,0
CUST100132,52,Female,Married,High School,Self-Employed,422619,23089,24,14.88,10.1,2,0,183775,5,0.81,1
CUST100133,61,Female,Single,Graduate,Self-Employed,726954,302803,60,10.75,17.3,0,2,32577,2,0.55,0
CUST100134,57,Female,Married,High School,Salaried,478766,327322,12,16.63,19.1,4,1,138783,4,0.83,1
CUST100135,39,Male,Married,Diploma,Salaried,227573,533269,24,23.43,8.1,4,1,85548,1,0.51,1
CUST100136,44,Male,Married,Diploma,Self-Employed,389152,640253,36,17.92,10.1,0,4,125093,5,0.48,1
CUST100137,52,Female,Single,Graduate,Salaried,430435,625556,48,23.74,19.4,5,2,135168,5,0.24,1
CUST100138,18,Female,Married,Post-Graduate,Self-Employed,278477,367186,48,21.54,5.5,5,1,66555,7,0.51,1
CUST100139,52,Female,Single,Graduate,Self-Employed,1416717,388615,36,9.06,15.8,2,3,89848,7,0.17,1
CUST100140,54,Male,Single,Graduate,Self-Employed,418530,221798,12,18.71,4.5,4,1,8254,2,0.79,1
CUST100141,64,Female,Divorced,Graduate,Salaried,1320475,352255,36,12.94,13.6,5,1,125410,6,0.62,1
CUST100142,31,Female,Single,Graduate,Salaried,939472,257103,12,17.17,5.1,4,1,137037,1,0.89,1
CUST100143,20,Female,Married,High School,Self-Employed,460687,789042,24,12.83,17.7,2,4,189059,2,0.13,1
CUST100144,18,Male,Married,Diploma,Salaried,1135197,709925,36,13.91,11.2,2,1,103025,3,0.25,1
CUST100145,22,Male,Married,Diploma,Salaried,679603,109242,12,22.81,3.7,5,1,130509,6,0.8,1
CUST100146,43,Male,Married,Diploma,Self-Employed,1466652,395348,24,11.7,4.5,0,4,32963,4,0.39,0
CUST100147,31,Male,Single,High School,Self-Employed,534380,173956,36,22.05,9.9,3,5,3273,7,0.45,1
CUST100148,56,Male,Single,High School,Salaried,1300594,604326,48,8.97,19.2,1,2,15330,1,0.78,0
CUST100149,44,Male,Married,Diploma,Salaried,921125,602074,36,9.91,15.4,3,5,152566,5,0.49,1
CUST100150,26,Male,Single,Post-Graduate,Salaried,409385,780330,60,21.75,9.8,3,0,76422,2,0.21,1
CUST100151,32,Male,Single,Diploma,Self-Employed,1021626,753375,36,18.27,6.8,4,4,122089,7,0.81,1
CUST100152,32,Female,Single,Diploma,Unemployed,215790,185250,60,20.08,11,2,4,3212,5,0.08,1
CUST100153,43,Female,Single,High School,Salaried,1053044,542820,24,11.75,15,4,1,87594,1,0.81,1
CUST100154,59,Male,Single,Graduate,Salaried,716543,282678,36,16.82,15.7,5,1,132152,7,0.09,1
CUST100155,30,Male,Single,Diploma,Self-Employed,1340851,318254,24,19.93,6.5,1,0,32675,7,0.62,1
CUST100156,68,Female,Married,High School,Salaried,1430015,734114,24,18.22,14.4,5,1,22007,5,0.11,1
CUST100157,49,Male,Married,Graduate,Salaried,1179926,435685,12,15.81,13.2,0,3,113805,2,0.65,0
CUST100158,56,Male,Married,High School,Unemployed,438953,346160,24,23.38,19.2,1,1,82641,6,0.08,1
CUST100159,66,Male,Single,High School,Salaried,221894,66233,24,18.98,18.6,4,1,95815,2,0.77,1
CUST100160,69,Female,Single,High School,Self-Employed,556048,217780,36,22.57,15.8,4,3,46815,0,0.45,1
CUST100161,49,Female,Single,High School,Salaried,399720,471448,36,19.81,14.5,5,0,83482,7,0.13,1
CUST100162,21,Female,Married,High School,Salaried,1251960,768810,48,19.9,5.5,4,3,639,5,0.65,1
CUST100163,47,Female,Married,Diploma,Self-Employed,1168966,126311,12,9.74,16.9,4,4,63593,0,0.47,1
CUST100164,54,Female,Single,Graduate,Salaried,951868,578697,24,14.07,8.6,3,3,78038,6,0.21,1
CUST100165,40,Male,Divorced,Graduate,Unemployed,526245,790519,12,21.8,5.4,0,2,93899,0,0.06,0
CUST100166,56,Female,Single,Graduate,Salaried,142490,421954,60,12.11,7.7,3,4,3736,5,0.41,1
CUST100167,62,Male,Married,Diploma,Salaried,952307,516246,24,10.29,16.7,4,1,16473,1,0.12,1
CUST100168,32,Male,Married,Post-Graduate,Salaried,725108,49709,12,13.55,3,2,4,128771,3,0.13,1
CUST100169,60,Female,Married,Diploma,Salaried,391265,653609,48,11.92,9.1,3,0,125801,6,0.28,1
CUST100170,46,Female,Married,High School,Salaried,121539,20363,48,22.84,9.8,4,0,165091,2,0.59,1
CUST100171,53,Male,Married,Graduate,Salaried,432579,514829,24,21.95,0.7,4,3,107598,4,0.5,1
CUST100172,30,Male,Single,High School,Salaried,635584,416456,60,16.25,3.9,0,4,86623,6,0.11,1
CUST100173,49,Male,Married,Diploma,Salaried,183965,485417,48,9.45,16.5,5,1,36820,0,0.87,1
CUST100174,24,Female,Single,Graduate,Self-Employed,1266375,65689,48,19.58,16.6,1,0,57589,1,0.8,0
CUST100175,68,Female,Married,Post-Graduate,Self-Employed,1262524,284080,60,18.16,5.8,3,5,196879,5,0.27,1
CUST100176,39,Female,Married,Diploma,Self-Employed,1311890,635362,12,23.54,17.5,3,1,18414,1,0.15,0
CUST100177,45,Female,Married,Graduate,Salaried,368099,195037,48,17.16,15.4,3,5,127378,1,0.85,1
CUST100178,19,Female,Married,Post-Graduate,Salaried,1150065,228606,36,13.71,8.4,4,2,24220,5,0.44,1
CUST100179,59,Male,Married,High School,Self-Employed,915379,20882,48,16.54,15,0,5,60531,4,0.31,1
CUST100180,62,Female,Married,Diploma,Salaried,887610,433440,12,23.68,19.2,4,0,110002,5,0.47,1
CUST100181,23,Male,Married,Diploma,Salaried,846826,799110,12,19.29,9.2,4,3,173497,4,0.71,1
CUST100182,45,Male,Single,Diploma,Self-Employed,1424397,145865,24,18.92,4.8,5,2,9387,5,0.19,1
CUST100183,45,Male,Single,Diploma,Self-Employed,1479505,668033,36,12.23,18.8,2,4,76815,0,0.7,0
CUST100184,61,Female,Single,Post-Graduate,Salaried,1026395,444041,12,20.03,12.1,0,1,27584,4,0.69,1
CUST100185,61,Female,Single,Graduate,Salaried,1180194,483956,60,20.13,2.1,3,0,44783,0,0.51,1
CUST100186,37,Female,Married,Graduate,Self-Employed,456430,48885,36,13.42,11.5,1,2,170881,6,0.79,1
CUST100187,47,Male,Single,Diploma,Salaried,1446842,715416,36,16,10,3,2,185399,4,0.16,1
CUST100188,28,Male,Divorced,Graduate,Self-Employed,782714,416419,60,13.07,17.1,4,0,124494,4,0.56,1
CUST100189,45,Male,Single,Post-Graduate,Self-Employed,730724,735601,48,12.51,10.6,0,4,115814,5,0.43,1
CUST100190,42,Male,Single,Graduate,Self-Employed,330448,415460,60,8.9,5.1,0,4,130752,4,0.41,1
CUST100191,56,Male,Married,High School,Salaried,1090278,380466,60,12.92,13.5,0,3,141929,0,0.26,0
CUST100192,50,Male,Married,Graduate,Salaried,615919,350763,48,17.09,10.9,2,5,173333,7,0.37,1
CUST100193,18,Female,Married,High School,Self-Employed,1304685,41584,48,8.52,4.7,3,4,73588,6,0.14,1
CUST100194,44,Female,Married,Diploma,Self-Employed,1197209,725377,48,12.89,11.5,2,3,148067,7,0.26,1
CUST100195,69,Female,Married,High School,Self-Employed,930927,573351,48,22.16,16.4,5,5,13580,5,0.28,1
CUST100196,30,Female,Single,Graduate,Salaried,970982,90268,48,17.7,0.6,1,2,18240,2,0.66,1
CUST100197,58,Male,Divorced,Graduate,Salaried,332456,670506,60,17.92,12.6,5,0,83446,6,0.09,1
CUST100198,20,Male,Divorced,High School,Self-Employed,1467203,400350,24,14.75,7,4,4,104533,7,0.6,1
CUST100199,56,Female,Married,Diploma,Self-Employed,495325,478168,24,18.99,5.9,2,3,177183,6,0.24,1
CUST100200,23,Male,Single,Diploma,Unemployed,586589,768414,12,11.44,7.9,2,2,165938,7,0.12,1
CUST100201,25,Female,Married,Diploma,Self-Employed,416213,190635,24,21.19,6.8,5,4,80974,0,0.31,1
CUST100202,44,Female,Single,High School,Salaried,1307018,190824,24,10.31,16.6,4,1,73401,7,0.24,1
CUST100203,26,Female,Single,Diploma,Self-Employed,1023275,770593,60,18.67,5.5,0,2,143283,6,0.52,1
CUST100204,54,Male,Single,Graduate,Self-Employed,1240523,415783,48,13.79,14.7,4,4,190057,2,0.35,1
CUST100205,50,Female,Married,High School,Salaried,290205,429337,48,20.09,1.9,3,2,164340,1,0.87,1
CUST100206,68,Female,Married,High School,Self-Employed,1264337,620699,60,17.02,19,5,0,3646,5,0.87,1
CUST100207,59,Female,Married,Diploma,Salaried,1038196,129876,24,15.51,12.4,4,0,186443,1,0.43,1
CUST100208,61,Male,Married,Post-Graduate,Salaried,1273276,218153,60,11.13,14.1,0,0,42816,5,0.73,1
CUST100209,41,Male,Married,Graduate,Self-Employed,693881,704500,12,18.37,6,4,5,89460,6,0.06,1
CUST100210,32,Female,Single,Graduate,Salaried,1138454,684687,48,23.61,8.2,2,1,44112,5,0.52,1
CUST100211,49,Male,Single,Diploma,Salaried,125209,43331,36,21.3,4.5,1,0,51048,7,0.68,1
CUST100212,49,Male,Divorced,Graduate,Salaried,519749,43004,12,9.43,18.7,2,1,185983,0,0.23,0
CUST100213,41,Male,Single,High School,Salaried,1437931,258441,12,14.33,9.8,1,0,132850,2,0.1,0
CUST100214,58,Male,Married,Graduate,Salaried,1178503,423708,60,22.85,12.6,4,5,45752,5,0.18,1
CUST100215,69,Male,Married,Post-Graduate,Salaried,761621,468013,24,16.3,14.7,3,2,70726,2,0.43,1
CUST100216,66,Male,Married,Graduate,Unemployed,1324242,209167,48,18.76,7.4,4,4,158361,5,0.48,1
CUST100217,66,Male,Married,Post-Graduate,Salaried,850212,633332,36,22.65,14.4,0,4,44788,2,0.37,0
CUST100218,69,Male,Married,Graduate,Salaried,1377361,302260,12,22.04,13.5,4,0,4747,1,0.42,1
CUST100219,29,Male,Married,High School,Salaried,458526,562955,36,16.28,14.1,1,4,45,0,0.45,0
CUST100220,56,Male,Divorced,Post-Graduate,Self-Employed,259005,357201,24,15.28,9.8,2,0,7758,5,0.7,1
CUST100221,19,Female,Married,High School,Salaried,1149661,618493,24,13.77,7.7,3,0,125076,3,0.14,1
CUST100222,20,Female,Single,Graduate,Self-Employed,316521,47302,36,19.64,4.4,4,3,154509,2,0.7,1
CUST100223,66,Male,Married,High School,Self-Employed,1498336,424499,48,12.95,16.5,4,3,150657,2,0.64,1
CUST100224,54,Female,Divorced,High School,Self-Employed,1043593,182007,24,12.37,12.2,2,3,140926,7,0.68,1
CUST100225,66,Female,Single,Diploma,Salaried,569764,616822,36,14.02,8.9,3,1,183148,3,0.67,1
CUST100226,34,Male,Married,Diploma,Self-Employed,1325771,769702,12,11.25,18.9,5,3,56950,0,0.45,1
CUST100227,66,Male,Married,Diploma,Salaried,1218589,182696,36,19.27,1,4,0,148421,2,0.23,1
CUST100228,19,Male,Married,Graduate,Unemployed,521562,33440,36,18.05,17,4,5,152420,0,0.51,1
CUST100229,19,Female,Single,High School,Self-Employed,336486,393145,60,15.98,20,5,5,165368,2,0.86,1
CUST100230,45,Female,Married,High School,Salaried,546888,328645,24,14.55,17.7,1,2,19455,6,0.55,1
CUST100231,40,Male,Divorced,Graduate,Salaried,955988,414485,48,22.59,16.2,1,3,185093,4,0.06,0
CUST100232,54,Male,Single,Diploma,Salaried,1030155,705611,48,8.95,7.5,0,5,170365,6,0.1,1
CUST100233,49,Male,Single,Graduate,Self-Employed,670428,360053,60,20.42,4.6,2,3,88552,2,0.89,1
CUST100234,50,Female,Divorced,Graduate,Salaried,383328,628811,48,22.48,14.7,3,2,46116,4,0.11,1
CUST100235,18,Female,Single,Graduate,Salaried,231361,714089,36,15.42,6.1,4,5,120461,5,0.09,1
CUST100236,36,Female,Married,Graduate,Salaried,912038,560022,60,17.04,3.5,4,0,40484,0,0.35,1
CUST100237,19,Female,Married,Diploma,Self-Employed,517172,717789,12,23.14,15.7,0,1,161287,2,0.87,1
CUST100238,61,Male,Single,Graduate,Self-Employed,1185131,192409,24,11.79,6.3,4,3,81638,7,0.32,1
CUST100239,43,Male,Married,Diploma,Self-Employed,734673,453541,24,16.56,18.3,2,5,134476,1,0.4,0
CUST100240,49,Male,Married,Diploma,Self-Employed,1489222,365744,24,15.86,16.8,0,5,168332,7,0.59,1
CUST100241,23,Male,Married,Graduate,Salaried,375658,527173,36,12.51,17,2,2,100647,1,0.07,0
CUST100242,49,Female,Single,Diploma,Salaried,874085,684471,12,21.19,15.4,0,0,65642,3,0.81,1
CUST100243,21,Female,Married,Graduate,Self-Employed,223844,648274,60,22.44,17.6,4,4,46009,1,0.49,1
CUST100244,28,Male,Single,Graduate,Salaried,1259897,658071,60,20.62,16.1,0,5,128824,4,0.45,1
CUST100245,34,Male,Single,Post-Graduate,Salaried,955488,231655,24,11.53,12.1,1,1,29605,1,0.78,1
